subj,level,trial,order,LHIPA,pavg,pcpd
P01,PHY,abs,3,13.52,2.423858,-1.694034882
P01,PHY,figs,11,24.333333,2.320364,-0.084340216
P01,PHY,intro,7,0.0,0.08889,0.0
P01,PHY,intro,15,6.913978,2.339326,-2.8658682030000002
P01,PHY,methodology,5,0.0,1.961407,0.0
P01,PHY,methodology,9,0.0,2.556742,0.0
P01,PHY,methodology,13,60.0,2.3777060000000003,0.0
P01,PHY,methodology,17,6.522124,2.340175,-5.905754911
P01,PHY,none,1,42.5,3.068404,-2.175723927
P01,PHY,none,4,0.0,2.041578,0.0
P01,PHY,none,6,0.0,3.329065,0.0
P01,PHY,none,8,0.0,1.494893,0.0
P01,PHY,none,10,48.0,2.363169,0.0
P01,PHY,none,12,0.0,-0.189975,0.0
P01,PHY,none,14,28.0,2.144761,6.601621346
P01,PHY,none,16,0.0,-1.471615,0.0
P01,PHY,none,18,25.625,2.400946,-2.895566997
P01,PHY,title,2,24.545455,2.757229,-6.6043480610000005
P01,WDILL,abs,4,11.92,1.39091,-1.722900835
P01,WDILL,figs,6,11.75,1.570595,-15.38576145
P01,WDILL,figs,10,11.434783,1.500363,-8.920641205
P01,WDILL,figs,16,33.0,1.35125,0.8432192409999999
P01,WDILL,intro,8,11.484848,1.332781,1.25902155
P01,WDILL,intro,12,11.903226,1.4614129999999999,-13.07111679
P01,WDILL,methodology,14,23.222222,1.328092,-3.6524578119999997
P01,WDILL,methodology,18,5.652174,1.429327,-7.278250533
P01,WDILL,none,1,30.5,1.989888,0.143877444
P01,WDILL,none,3,0.0,1.040366,0.0
P01,WDILL,none,5,0.0,1.645562,0.0
P01,WDILL,none,7,0.0,0.8757510000000001,0.0
P01,WDILL,none,9,33.0,1.446388,3.1958921119999997
P01,WDILL,none,11,29.0,1.254609,9.174013577
P01,WDILL,none,13,0.0,0.969511,0.0
P01,WDILL,none,15,0.0,1.123466,0.0
P01,WDILL,none,17,0.0,1.348234,0.0
P01,WDILL,none,19,19.8,1.7331330000000003,-3.2342007219999998
P01,WDILL,title,2,24.272727,1.808081,-11.83569763
P02,PHY,abs,4,12.25,2.0170209999999997,-7.340776322999999
P02,PHY,abs,14,6.275862,1.806314,-2.095095316
P02,PHY,figs,10,23.583333,1.886552,-7.18040107
P02,PHY,intro,6,5.886792,1.8887740000000002,-5.375815211
P02,PHY,intro,16,12.6875,1.730173,2.330865179
P02,PHY,methodology,8,22.4,1.762882,-4.020235047
P02,PHY,methodology,12,12.037037,1.801865,-5.951500251000001
P02,PHY,none,1,42.666667,2.170493,-4.304459862
P02,PHY,none,3,0.0,2.92,0.0
P02,PHY,none,5,27.8,1.884364,7.634353022999999
P02,PHY,none,7,0.0,1.854385,0.0
P02,PHY,none,9,0.0,1.9294380000000002,0.0
P02,PHY,none,11,0.0,1.689714,0.0
P02,PHY,none,13,23.666667,1.711114,11.88114877
P02,PHY,none,15,0.0,1.843216,0.0
P02,PHY,none,17,11.666667,1.8783599999999998,19.14601035
P02,PHY,title,2,23.8,2.037075,3.511652737
P02,WDILL,abs,4,12.24,1.820456,-11.92371582
P02,WDILL,abs,20,11.428571,1.570942,-9.33198043
P02,WDILL,figs,10,24.888889000000002,1.6729080000000003,-11.18501436
P02,WDILL,figs,14,11.666667,1.5445520000000001,-4.692622845
P02,WDILL,figs,18,10.875,1.542455,-7.258428932999999
P02,WDILL,intro,6,12.071429,1.5759450000000002,-2.66544835
P02,WDILL,methodology,8,12.0,1.650252,-8.332242591
P02,WDILL,methodology,12,11.75,1.4617360000000001,-0.524513318
P02,WDILL,methodology,16,11.48,1.3869479999999998,4.758505726
P02,WDILL,none,1,12.368421000000001,1.895677,-4.832943587
P02,WDILL,none,3,26.5,1.7077740000000001,-2.10062924
P02,WDILL,none,5,0.0,1.431203,0.0
P02,WDILL,none,7,38.0,1.7808549999999999,-0.254596809
P02,WDILL,none,9,0.0,-1.944855,0.0
P02,WDILL,none,11,0.0,1.464336,0.0
P02,WDILL,none,13,39.0,1.4701,0.0
P02,WDILL,none,15,0.0,1.217285,0.0
P02,WDILL,none,17,0.0,1.950243,0.0
P02,WDILL,none,19,68.0,1.4561680000000001,0.0
P02,WDILL,none,21,12.0,1.498497,10.303857800000001
P02,WDILL,title,2,12.285714,1.838877,-4.305181913
P03,PHY,abs,4,41.666667,1.2901559999999999,14.80177591
P03,PHY,abs,14,16.318182,1.296239,18.730727899999998
P03,PHY,figs,12,0.0,1.346214,0.0
P03,PHY,intro,16,8.632353,1.519211,-7.719730834
P03,PHY,intro,18,31.555556,1.376722,-2.301118163
P03,PHY,intro,22,18.235294,1.476957,-7.852699842000001
P03,PHY,methodology,6,0.0,2.197155,0.0
P03,PHY,methodology,10,29.333333000000003,2.002941,-17.63421888
P03,PHY,methodology,20,8.708333,1.4068120000000002,-1.137607584
P03,PHY,none,1,24.5,2.389106,1.002885598
P03,PHY,none,3,0.0,-0.107869,0.0
P03,PHY,none,5,85.0,1.977308,0.0
